연번,사업장명,주소,위도,경도,데이터기준일자
163,세븐일레븐 광주첨단대라수,"광주광역시 광산구 첨단중앙로182번길 90, 1층 119호(쌍암동 688-2)",35.22159382,126.8508592,2024-04-30
164,이마트24첨단중앙,광주광역시 광산구 첨단중앙로106번길 65-14(월계동 879-3),35.21607428,126.8470742,2024-04-30
165,지에스25 하남모아점,"광주광역시 광산구 손재로 191, 1층(하남동 892)",35.1824424,126.7946748,2024-04-30
166,씨유(CU)하남2지구점,광주광역시 광산구 용아로379번길 45(산정동 1042),35.17647104,126.8018378,2024-04-30
167,주식회사가람식자재마트수완첨단,광주광역시 광산구 임방울대로 513(수완동 801-6),35.20576597,126.8201158,2024-04-30
168,고기파는형제,"광주광역시 광산구 손재로110번길 27, 105호(하남동 650)",35.17622811,126.7985486,2024-04-30
169,씨유 하남다사로움점,"광주광역시 광산구 목련로21번길 45, 1층 106-7호(산정동 1023)",35.1754179,126.7984485,2024-04-30
170,금빛해바라기주식회사,광주광역시 광산구 고봉로 89(하남동 923),35.18281309,126.7975435,2024-04-30
171,(주)다원식자재(FM식자재),광주광역시 광산구 비아로 1(비아동 89-66),35.22006434,126.8246484,2024-04-30
172,세븐일레븐 장덕점,광주광역시 광산구 풍영로229번안길 2(장덕동 1338),35.19221324,126.8135008,2024-04-30
173,세븐일레븐 광주첨단무들점,광주광역시 광산구 임방울대로826번길 60-5(월계동 893-1),35.21451299,126.847603,2024-04-30
174,세븐일레븐 광주첨단프레뷰점,"광주광역시 광산구 임방울대로826번길 22-22, 101동 1층 101호(월계동 870-8)",35.2167781,126.8481839,2024-04-30
175,CU 진곡산단점,광주광역시 광산구 진곡산단2번로 76 (오선동 653),35.2010597,126.7906459,2024-04-30
176,이마트24 포플레이 첨단점,광주광역시 광산구 임방울대로826번길 42. 1층 103호(월계동 882-2),35.21547358,126.8483369,2024-04-30
177,세븐일레븐 광주하남5번로점,"광주광역시 광산구 하남산단5번로 120, 나동(장덕동 975-2)",35.19621396,126.8082901,2024-04-30
178,넘버원피싱샵(세븐일레븐 광주진곡오선점),"광주광역시 광산구 진곡산단3번로 54, 1층(오선동 621)",35.20195726,126.7889799,2024-04-30
179,한마음새마을금고(하남본점),광주광역시 광산구 하남대로 69(하남동 1226),35.18053869,126.8011297,2024-04-30
180,한마음새마을금고(장덕지점),광주광역시 광산구 풍영로 271(장덕동 1069),35.19542535,126.8153568,2024-04-30
181,햇살마트,"광주광역시 광산구 월곡산정로 15, 하남우산주공 후문앞(산정동 977-5)",35.16674173,126.8038414,2024-04-30
182,보광훼미리산정점,광주광역시 광산구 산정동 962-1 (산정로 33-9),35.1695325,126.8032249,2024-04-30
183,알뜰수퍼,광주광역시 광산구 산정동 962-5 (산정로 31),35.16943852,126.8037435,2024-04-30
184,태백수퍼마켙,광주광역시 광산구 산정로 34(산정동 960-14),35.16965975,126.8040425,2024-04-30
185,오복수퍼,광주광역시 광산구 산정동 948-18 (산정로 53) 태백슈퍼마켙-->80m,35.17141845,126.8045262,2024-04-30
186,세븐일레븐 광주월곡점,광주광역시 광산구 산정공원로 42 (월곡동 513-5),35.17131732,126.8062685,2024-04-30
187,인아수퍼,광주광역시 광산구 산정동 962-5 (산정공원로 60),35.16943852,126.8037435,2024-04-30
188,도울마트 산정점,광주광역시 광산구 산정공원로 71(산정동 936-5),35.17390907,126.8062091,2024-04-30
189,이나마트,광주광역시 광산구 산정공원로 79(월곡동 489-17),35.17476833,126.8063158,2024-04-30
190,월드마트,광주광역시 광산구 산정공원로82번길 10(월곡동 497-10),35.17467431,126.8074451,2024-04-30
